date;house;industry
01.01.16 00:00;200;100
01.01.16 00:15;300;100
01.01.16 00:30;400;100
01.01.16 00:45;500;100
01.01.16 01:00;400;100
01.01.16 01:15;500;100
01.01.16 01:30;400;100
01.01.16 01:45;201;100
01.01.16 02:00;301;100
01.01.16 02:15;401;100
01.01.16 02:30;501;100
01.01.16 02:45;401;100
01.01.16 03:00;501;100
01.01.16 03:15;401;100
01.01.16 03:30;202;100
01.01.16 03:45;302;100
01.01.16 04:00;402;100
01.01.16 04:15;502;100
01.01.16 04:30;402;100
01.01.16 04:45;502;100
01.01.16 05:00;402;100
01.01.16 05:15;203;100
01.01.16 05:30;303;100
01.01.16 05:45;403;100
01.01.16 06:00;503;100
01.01.16 06:15;403;100
01.01.16 06:30;503;100
01.01.16 06:45;403;100
01.01.16 07:00;204;100
01.01.16 07:15;304;100
01.01.16 07:30;404;100
01.01.16 07:45;504;100
01.01.16 08:00;404;100
01.01.16 08:15;504;100
01.01.16 08:30;404;100
01.01.16 08:45;205;100
01.01.16 09:00;305;100
01.01.16 09:15;405;100
01.01.16 09:30;505;100
01.01.16 09:45;405;100
01.01.16 10:00;505;100
01.01.16 10:15;405;100
01.01.16 10:30;206;100
01.01.16 10:45;306;100
01.01.16 11:00;406;100
01.01.16 11:15;506;100
01.01.16 11:30;406;100
01.01.16 11:45;506;100
01.01.16 12:00;406;100
01.01.16 12:15;207;100
01.01.16 12:30;307;100
01.01.16 12:45;407;100
01.01.16 13:00;507;100
01.01.16 13:15;407;100
01.01.16 13:30;507;100
01.01.16 13:45;407;100
01.01.16 14:00;208;100
01.01.16 14:15;308;100
01.01.16 14:30;408;100
01.01.16 14:45;508;100
01.01.16 15:00;408;100
01.01.16 15:15;508;100
01.01.16 15:30;408;100
01.01.16 15:45;209;100
01.01.16 16:00;309;100
01.01.16 16:15;409;100
01.01.16 16:30;509;100
01.01.16 16:45;409;100
01.01.16 17:00;509;100
01.01.16 17:15;409;100
01.01.16 17:30;210;100
01.01.16 17:45;310;100
01.01.16 18:00;410;100
01.01.16 18:15;510;100
01.01.16 18:30;410;100
01.01.16 18:45;510;100
01.01.16 19:00;410;100
01.01.16 19:15;211;100
01.01.16 19:30;311;100
01.01.16 19:45;411;100
01.01.16 20:00;511;100
01.01.16 20:15;411;100
01.01.16 20:30;511;100
01.01.16 20:45;411;100
01.01.16 21:00;212;100
01.01.16 21:15;312;100
01.01.16 21:30;412;100
01.01.16 21:45;512;100
01.01.16 22:00;412;100
01.01.16 22:15;512;100
01.01.16 22:30;412;100
01.01.16 22:45;213;100
01.01.16 23:00;313;100
01.01.16 23:15;413;100
01.01.16 23:30;513;100
01.01.16 23:45;413;100
02.01.16 00:00;513;100
02.01.16 00:15;613;100
02.01.16 00:30;713;100
02.01.16 00:45;813;100
02.01.16 01:00;913;100
02.01.16 01:15;1013;100
02.01.16 01:30;1113;100
02.01.16 01:45;1213;100
02.01.16 02:00;1313;100
02.01.16 02:15;1413;100
02.01.16 02:30;1513;100
02.01.16 02:45;1613;100
02.01.16 03:00;1713;100
02.01.16 03:15;1813;100
02.01.16 03:30;1913;100
02.01.16 03:45;2013;100
02.01.16 04:00;2113;100
02.01.16 04:15;2213;100
02.01.16 04:30;2313;100
02.01.16 04:45;2413;100
02.01.16 05:00;2513;100
02.01.16 05:15;2613;100
02.01.16 05:30;2713;100
02.01.16 05:45;2813;100
02.01.16 06:00;2913;100
02.01.16 06:15;3013;100
02.01.16 06:30;3113;100
02.01.16 06:45;3213;100
02.01.16 07:00;3313;100
02.01.16 07:15;3413;100
02.01.16 07:30;3513;100
02.01.16 07:45;3613;100
02.01.16 08:00;3713;100
02.01.16 08:15;3813;100
02.01.16 08:30;3913;100
02.01.16 08:45;4013;100
02.01.16 09:00;4113;100
02.01.16 09:15;4213;100
02.01.16 09:30;4313;100
02.01.16 09:45;4413;100
02.01.16 10:00;4513;100
02.01.16 10:15;4613;100
02.01.16 10:30;4713;100
02.01.16 10:45;4813;100
02.01.16 11:00;4913;100
02.01.16 11:15;5013;100
02.01.16 11:30;5113;100
02.01.16 11:45;5213;100
02.01.16 12:00;5313;100
02.01.16 12:15;5413;100
02.01.16 12:30;5513;100
02.01.16 12:45;5613;100
02.01.16 13:00;5713;100
02.01.16 13:15;5813;100
02.01.16 13:30;5913;100
02.01.16 13:45;6013;100
02.01.16 14:00;6113;100
02.01.16 14:15;6213;100
02.01.16 14:30;6313;100
02.01.16 14:45;6413;100
02.01.16 15:00;6513;100
02.01.16 15:15;6613;100
02.01.16 15:30;6713;100
02.01.16 15:45;6813;100
02.01.16 16:00;6913;100
02.01.16 16:15;7013;100
02.01.16 16:30;7113;100
02.01.16 16:45;7213;100
02.01.16 17:00;7313;100
02.01.16 17:15;7413;100
02.01.16 17:30;7513;100
02.01.16 17:45;7613;100
02.01.16 18:00;7713;100
02.01.16 18:15;7813;100
02.01.16 18:30;7913;100
02.01.16 18:45;8013;100
02.01.16 19:00;8113;100
02.01.16 19:15;8213;100
02.01.16 19:30;8313;100
02.01.16 19:45;8413;100
02.01.16 20:00;8513;100
02.01.16 20:15;8613;100
02.01.16 20:30;8713;100
02.01.16 20:45;8813;100
02.01.16 21:00;8913;100
02.01.16 21:15;9013;100
02.01.16 21:30;9113;100
02.01.16 21:45;9213;100
02.01.16 22:00;9313;100
02.01.16 22:15;9413;100
02.01.16 22:30;9513;100
02.01.16 22:45;9613;100
02.01.16 23:00;9713;100
02.01.16 23:15;9813;100
02.01.16 23:30;9913;100
02.01.16 23:45;10013;100
03.01.16 00:00;10113;100
03.01.16 00:15;10213;100
03.01.16 00:30;10313;100
03.01.16 00:45;10413;100
03.01.16 01:00;10513;100
03.01.16 01:15;10613;100
03.01.16 01:30;10713;100
03.01.16 01:45;10813;100
03.01.16 02:00;10913;100
03.01.16 02:15;11013;100
03.01.16 02:30;11113;100
03.01.16 02:45;11213;100
03.01.16 03:00;11313;100
03.01.16 03:15;11413;100
03.01.16 03:30;11513;100
